"","source","target","weight"
"1","08624856","Topic 0",0.796969696969697
"2","08624860","Topic 0",0.0219298245614035
"3","08624862","Topic 0",0.695833333333333
"4","08629840","Topic 0",0.0347222222222222
"5","08629844","Topic 0",0.0320512820512821
"6","08629848","Topic 0",0.119791666666667
"7","08629849","Topic 0",0.0495495495495496
"8","08633901","Topic 0",0.0225225225225225
"9","08633902","Topic 0",0.0203252032520325
"10","08633906","Topic 0",0.0407407407407407
"11","08633912","Topic 0",0.762820512820513
"12","08638300","Topic 0",0.119047619047619
"13","08638301","Topic 0",0.0297619047619048
"14","08638304","Topic 0",0.0482456140350877
"15","08638306","Topic 0",0.0231481481481482
"16","08638307","Topic 0",0.743055555555555
"17","08638310","Topic 0",0.593333333333333
"18","08638311","Topic 0",0.0982905982905983
"19","08902172","Topic 0",0.0416666666666667
"20","08902175","Topic 0",0.0347222222222222
"21","08902176","Topic 0",0.0320512820512821
"22","08902177","Topic 0",0.028735632183908
"23","08902181","Topic 0",0.0185185185185185
"24","08902185","Topic 0",0.0396825396825397
"25","08902186","Topic 0",0.359649122807018
"26","08907902","Topic 0",0.0163398692810458
"27","08907909","Topic 0",0.0787037037037037
"28","08907910","Topic 0",0.0366666666666667
"29","08907912","Topic 0",0.344202898550725
"30","08907913","Topic 0",0.146464646464646
"31","08913019","Topic 0",0.053921568627451
"32","08913021","Topic 0",0.0252525252525253
"33","08913022","Topic 0",0.0347222222222222
"34","08913023","Topic 0",0.110062893081761
"35","08913024","Topic 0",0.823809523809524
"36","08917249","Topic 0",0.0964912280701754
"37","08917250","Topic 0",0.0231481481481482
"38","08922494","Topic 0",0.0203252032520325
"39","08922500","Topic 0",0.492424242424242
"40","08922501","Topic 0",0.78921568627451
"41","08922504","Topic 0",0.0509259259259259
"42","08922507","Topic 0",0.0447154471544715
"43","08922517","Topic 0",0.123655913978495
"44","08928595","Topic 0",0.252136752136752
"45","08928597","Topic 0",0.182539682539683
"46","08928599","Topic 0",0.147798742138365
"47","08928600","Topic 0",0.0944444444444445
"48","08928605","Topic 0",0.277777777777778
"49","08928611","Topic 0",0.120833333333333
"50","08928613","Topic 0",0.0407407407407407
"51","08933893","Topic 0",0.652380952380952
"52","08933894","Topic 0",0.634751773049645
"53","08933896","Topic 0",0.0177304964539007
"54","08933900","Topic 0",0.762820512820513
"55","08933902","Topic 0",0.862962962962963
"56","08937600","Topic 0",0.0231481481481482
"57","08937603","Topic 0",0.0208333333333333
"58","08941595","Topic 0",0.0398550724637681
"59","08941596","Topic 0",0.191056910569106
"60","08941598","Topic 0",0.0277777777777778
"61","08941599","Topic 0",0.0213675213675214
"62","08941604","Topic 0",0.779761904761905
"63","08941608","Topic 0",0.0654761904761905
"64","08941612","Topic 0",0.0231481481481482
"65","08947365","Topic 0",0.0378787878787879
"66","08947369","Topic 0",0.148550724637681
"67","08947371","Topic 0",0.376666666666667
"68","08947373","Topic 0",0.0757575757575758
"69","08947375","Topic 0",0.0436507936507937
"70","08947381","Topic 0",0.310606060606061
"71","08952899","Topic 0",0.685897435897436
"72","08952902","Topic 0",0.119047619047619
"73","08952908","Topic 0",0.0632183908045977
"74","08952910","Topic 0",0.0490196078431373
"75","08952913","Topic 0",0.184027777777778
"76","08952918","Topic 0",0.162037037037037
"77","08957865","Topic 0",0.0193798449612403
"78","08957866","Topic 0",0.0611111111111111
"79","08957868","Topic 0",0.053921568627451
"80","08957870","Topic 0",0.0245098039215686
"81","08957872","Topic 0",0.0185185185185185
"82","08963847","Topic 0",0.0170068027210884
"83","08963856","Topic 0",0.053921568627451
"84","08963857","Topic 0",0.0982905982905983
"85","08963858","Topic 0",0.0297619047619048
"86","08963866","Topic 0",0.0534591194968553
"87","08963867","Topic 0",0.0615942028985507
"88","08963871","Topic 0",0.0173611111111111
"89","08963872","Topic 0",0.768939393939394
"90","08970504","Topic 0",0.0944444444444445
"91","08970505","Topic 0",0.800925925925926
"92","08970506","Topic 0",0.0374149659863946
"93","08970508","Topic 0",0.520833333333333
"94","08970510","Topic 0",0.0208333333333333
"95","08970511","Topic 0",0.138888888888889
"96","08970512","Topic 0",0.132575757575758
"97","08970513","Topic 0",0.237373737373737
"98","08970515","Topic 0",0.0885416666666667
"99","08970518","Topic 0",0.120833333333333
"100","08970520","Topic 0",0.779279279279279
"101","08970525","Topic 0",0.0252525252525253
"102","08970527","Topic 0",0.0851851851851852
"103","08970528","Topic 0",0.234126984126984
"104","08970529","Topic 0",0.0245098039215686
"105","08970538","Topic 0",0.141025641025641
"106","08976123","Topic 0",0.0198412698412698
"107","08976124","Topic 0",0.307017543859649
"108","08976125","Topic 0",0.0297619047619048
"109","08976128","Topic 0",0.0157232704402516
"110","08976129","Topic 0",0.0416666666666667
"111","08976135","Topic 0",0.0798611111111111
"112","08976140","Topic 0",0.117886178861789
"113","08976141","Topic 0",0.0185185185185185
